Stock,R2_Score,RMSE,MAE,MAPE
NextEra Energy_vs_Rio Tinto ADR,0.970283148,0.1939546224,0.1468940039,0.054023605
NextEra Energy_vs_Linde PLC,0.9840243122,0.2468919797,0.1665061032,0.03789848117
NextEra Energy_vs_Waste Management,0.9891569736,0.1753524817,0.125161674,0.03313328309
NextEra Energy_vs_Elevance Health,0.9933642973,0.138697711,0.09070197164,0.02538256454
NextEra Energy_vs_McKesson,0.985888442,0.2701719193,0.2080903094,0.04695902911
NextEra Energy_vs_WW Grainger,0.9952722497,0.1543271721,0.1226720545,0.04271732158
NextEra Energy_vs_P&G,0.956595138,0.333064668,0.2424179984,0.07407517826
BHP Group Ltd ADR_vs_Rio Tinto ADR,0.9852710159,0.05669249428,0.04210373858,0.02469796366
BHP Group Ltd ADR_vs_Linde PLC,0.9523629652,0.401786627,0.3112097439,0.07070480242
BHP Group Ltd ADR_vs_Waste Management,0.9850959364,0.2287994253,0.1864998224,0.04860897292
BHP Group Ltd ADR_vs_Elevance Health,0.9926168399,0.08578785247,0.06622715944,0.02217521441
BHP Group Ltd ADR_vs_McKesson,0.9790078932,0.3333322775,0.2608409434,0.05377279671
BHP Group Ltd ADR_vs_WW Grainger,0.98831668,0.2877186582,0.2242812974,0.05340925456
BHP Group Ltd ADR_vs_P&G,0.9766349997,0.21976002,0.1668050902,0.05116533122
Rio Tinto ADR_vs_Linde PLC,0.9887654473,0.1510063346,0.09887205392,0.02999290539
Rio Tinto ADR_vs_Waste Management,0.9790021058,0.2062046475,0.1677446708,0.04657022447
Rio Tinto ADR_vs_Elevance Health,0.9774283436,0.1026497676,0.07484550347,0.0255178305
Rio Tinto ADR_vs_McKesson,0.9892169876,0.1853145372,0.154084357,0.03986500801
Rio Tinto ADR_vs_WW Grainger,0.9911442806,0.2016941126,0.1713756129,0.04494722644
Rio Tinto ADR_vs_P&G,0.9782070893,0.1549800745,0.1174477275,0.04543399923
Linde PLC_vs_Waste Management,0.9634097301,0.1317114589,0.07186122448,0.0341968401
Linde PLC_vs_Elevance Health,0.9834891419,0.1489994636,0.09273058255,0.03501597142
Linde PLC_vs_McKesson,0.9737790669,0.1461593457,0.08031944371,0.03883835741
Linde PLC_vs_WW Grainger,0.9860491978,0.1270293674,0.05860430275,0.04004160173
Linde PLC_vs_P&G,0.9432188216,0.2184924896,0.1185523633,0.05471138419
Waste Management_vs_Elevance Health,0.9897997536,0.1217211306,0.08804986832,0.03470803571
Waste Management_vs_McKesson,0.9322500186,0.1244937025,0.09701910255,0.04433606312
Waste Management_vs_WW Grainger,0.9451901312,0.1513246269,0.1154748751,0.05424944235
Waste Management_vs_P&G,0.7346218992,0.2124934787,0.1842205744,0.08997779637
Elevance Health_vs_McKesson,0.9328297037,0.4231983771,0.2485212,0.0643726431
Elevance Health_vs_WW Grainger,0.9983095888,0.08228108231,0.0639780993,0.02362880926
Elevance Health_vs_P&G,0.9683522367,0.1540617357,0.1107807361,0.04716634059
McKesson_vs_WW Grainger,0.8442284507,0.1770627961,0.101010554,0.0556300662
McKesson_vs_P&G,0.9711786231,0.1456838533,0.114782266,0.05102989217
WW Grainger_vs_P&G,0.9951008386,0.07706473546,0.05835023405,0.03210868501
JPMorgan_vs_WW Grainger,0.9906657362,0.05604613629,0.04391826718,0.01936547557
JPMorgan_vs_P&G,0.942237623,0.257990654,0.1742771293,0.06316174079
Exxon Mobil_vs_Caterpillar,0.919939084,0.2125723888,0.1720881013,0.0612690007
Exxon Mobil_vs_Walt Disney,0.9669691661,0.2673877443,0.2120902567,0.0268738859
Exxon Mobil_vs_Chevron,0.8817120049,0.2252599755,0.1721138513,0.08678253436
Exxon Mobil_vs_UnitedHealth,0.9146644026,0.2646537108,0.1940135886,0.08229193538
Exxon Mobil_vs_Novo Nordisk ADR,0.9579593921,0.312074249,0.2071872548,0.07522769663
Exxon Mobil_vs_Coca-Cola,0.9288992232,0.2436164772,0.1703184362,0.07849332288
Exxon Mobil_vs_McDonald’s,0.8815160213,0.2239012532,0.1784832585,0.08031485349
Exxon Mobil_vs_Applied Materials,0.9732668072,0.1453067592,0.1121596977,0.05046379356
Exxon Mobil_vs_NextEra Energy,0.9349283319,0.3876046558,0.253558136,0.06998359119
Exxon Mobil_vs_Southern,0.9484891304,0.1596557554,0.118369617,0.05224328451
Exxon Mobil_vs_Rio Tinto ADR,0.9189722056,0.244727612,0.2003110344,0.05984357107
Exxon Mobil_vs_Waste Management,0.90275617,0.1615820225,0.1271801677,0.0530117304
Exxon Mobil_vs_BHP Group Ltd ADR,0.9519889093,0.2576202902,0.213046859,0.0590105933
Exxon Mobil_vs_Enbridge,0.9885944359,0.210016861,0.184234076,0.03496637975
Exxon Mobil_vs_Sherwin-Williams,0.8953859816,0.2522313509,0.1655029957,0.05833201712
Exxon Mobil_vs_Linde PLC,0.9386883384,0.2273247059,0.1349387166,0.06857642692
Exxon Mobil_vs_Elevance Health,0.942786157,0.1744530395,0.1252042092,0.04590327722
Exxon Mobil_vs_McKesson,0.9435301283,0.2241023481,0.1816840937,0.06633965375
Exxon Mobil_vs_WW Grainger,0.97688473,0.1643773981,0.1275831437,0.05045944703
Exxon Mobil_vs_P&G,0.88058363,0.1740158546,0.1372462085,0.08308855924
Caterpillar_vs_Walt Disney,0.9647523575,0.3399076252,0.3130096638,0.03638442962
Caterpillar_vs_Chevron,0.9923745833,0.09683376281,0.07174345768,0.02470479559
Caterpillar_vs_UnitedHealth,0.9897541833,0.1408311445,0.1143927597,0.04401012047
Caterpillar_vs_Novo Nordisk ADR,0.9845968243,0.2107656315,0.1358633248,0.03937658663
Caterpillar_vs_Coca-Cola,0.973834941,0.1850678844,0.155750803,0.05387352489
Caterpillar_vs_McDonald’s,0.9906248263,0.1060824377,0.08573287788,0.03412560658
Caterpillar_vs_Applied Materials,0.9727785522,0.1349698565,0.1020122094,0.05792721993
Caterpillar_vs_NextEra Energy,0.995984177,0.1275721529,0.09704410354,0.02569947047
Caterpillar_vs_Southern,0.9799876052,0.1255770265,0.09852662803,0.04532151143
Caterpillar_vs_Rio Tinto ADR,0.9894458441,0.2039391231,0.169428825,0.04440520284
Caterpillar_vs_Waste Management,0.9720522386,0.07492093272,0.06067922695,0.02869585885
Caterpillar_vs_BHP Group Ltd ADR,0.9762557735,0.3709703566,0.2690643272,0.05727332105
Caterpillar_vs_Enbridge,0.9625402691,0.4351132879,0.3803166291,0.05512588498
Caterpillar_vs_Sherwin-Williams,0.9873947461,0.08999806706,0.0629420885,0.03005506466
Caterpillar_vs_Linde PLC,0.9771398757,0.1400858878,0.08564506357,0.03727085446
